timestamp_utc,x_pos_mm,y_pos_mm,x_vel_mm_per_s,y_vel_mm_per_s,s_vel_deg_per_s
0 days 00:00:00.688000,-165.441085,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.690000,-165.441075,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.692000,-165.441085,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.694000,-165.441075,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.696000,-165.441065,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.698000,-165.441065,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.700000,-165.441085,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.702000,-165.441095,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.704000,-165.441105,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.706000,-165.441105,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.708000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.710000,-165.441095,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.712000,-165.441085,208.004009,0.0,0.0,2471.999998
